client_name,glue_opcode,nobs,glue_runtime_ms,p_value,rsquared
besu,ISZERO,110,4.5603020647616165e-06,0.001,0.7964536269877005
besu,JUMPDEST,110,2.648768319171258e-06,0.001,0.8705686457267936
besu,SWAP,1760,3.6935138646578174e-06,0.001,0.8320734328120739
besu,CALLDATASIZE,6534,4.285413743064266e-06,0.001,0.9214469997509275
besu,DUP,6534,2.5566744635081798e-06,0.001,0.9214469997509275
besu,GAS,6534,3.773823663043621e-06,0.001,0.9214469997509275
besu,MLOAD,6534,1.0922044362998462e-05,0.001,0.9214469997509275
besu,PUSH,6534,2.990342554489399e-06,0.001,0.9214469997509275
besu,PUSH0,6534,2.5858937018983373e-06,0.001,0.9214469997509275
besu,STATICCALL,6534,0.0008372642359699577,0.001,0.9214469997509275
besu,ADD,110,1.1549564897722133e-05,0.001,0.7985449649727802
besu,AND,110,9.900509002753209e-06,0.001,0.8464529254670945
besu,CALLDATACOPY,2640,2.0488094845716904e-05,0.001,0.8174498769311289
besu,CALLDATALOAD,440,2.5408080623849753e-06,0.341,0.0001455368047627026
besu,DIV,110,1.5074673494293238e-05,0.001,0.8255710012437227
besu,EXP,110,0.001213147084045107,0.001,0.8072356359401175
besu,GT,110,3.142206390708909e-05,0.001,0.8884249890947368
besu,JUMPI,110,9.364576045737918e-06,0.001,0.832506253422055
besu,LT,110,3.196748185196205e-05,0.001,0.8972655290200214
besu,MSTORE,550,1.7699147139114618e-05,0.001,0.8370765906375692
besu,MSTORE8,550,1.3045948855411236e-05,0.001,0.833380686889834
besu,MUL,110,1.1645413586336393e-05,0.001,0.6364549889376085
besu,PC,110,4.299001192296264e-06,0.001,0.8589211688408298
besu,RETURNDATASIZE,440,6.977194787886111e-06,0.001,0.8438591522333518
besu,SELFBALANCE,90,8.37563926819183e-06,0.001,0.4857326492052423
besu,SUB,110,1.1952718018845498e-05,0.001,0.8475683729187211
besu,JUMP,110,2.7492005972702676e-05,0.001,0.8400509965663975
besu,KECCAK256,1760,2.5489430480702296e-05,0.001,0.08590871442063297
geth,ISZERO,165,1.5745414997051964e-06,0.001,0.8479537020076797
geth,JUMPDEST,165,1.0921894086765991e-06,0.001,0.6644351496881595
geth,SWAP,2640,1.5438233058946166e-06,0.001,0.7324590267871909
geth,CALLDATASIZE,9757,1.4823125281668959e-06,0.001,0.8272387039373374
geth,DUP,9757,1.5780681263458003e-06,0.001,0.8272387039373374
geth,GAS,9757,1.5191424918603871e-06,0.001,0.8272387039373374
geth,MLOAD,9757,5.18993401383475e-06,0.001,0.8272387039373374
geth,PUSH,9757,2.3498386824737954e-06,0.001,0.8272387039373374
geth,PUSH0,9757,1.4567015819334463e-06,0.001,0.8272387039373374
geth,STATICCALL,9757,0.0001675018969823037,0.001,0.8272387039373374
geth,ADD,165,4.49581011772024e-06,0.001,0.7887039085882488
geth,AND,165,3.8076355031692024e-06,0.001,0.7907526690928359
geth,CALLDATACOPY,3960,1.3138247565398357e-05,0.001,0.950282273602371
geth,CALLDATALOAD,660,6.569030921606936e-05,0.001,0.047455130353524666
geth,DIV,165,7.362392686700992e-06,0.001,0.7456479675814185
geth,EXP,165,0.0003518049791279756,0.001,0.7605323764831563
geth,GT,165,3.3652679238463596e-06,0.001,0.8389255367449873
geth,JUMPI,165,5.816838711205662e-06,0.001,0.7315192144906196
geth,LT,165,4.547716787514717e-06,0.001,0.8327650241295724
geth,MSTORE,825,7.715892373566832e-06,0.001,0.8114408059507869
geth,MSTORE8,825,7.083059096080193e-06,0.001,0.7487367920076742
geth,MUL,165,4.7735673250345465e-06,0.001,0.8143557581981536
geth,PC,165,1.6360617899857046e-06,0.001,0.8577482685875218
geth,RETURNDATASIZE,660,3.2215453310179925e-06,0.001,0.6693657343736652
geth,SELFBALANCE,135,7.683709446561208e-06,0.001,0.8014819941302245
geth,SUB,165,3.664150208512069e-06,0.001,0.698190340560119
geth,JUMP,165,9.035338603443631e-06,0.001,0.7131738348351866
geth,KECCAK256,2640,2.6971843726372137e-05,0.001,0.1835187185364089
nethermind,ISZERO,44,8.766204883933156e-07,0.001,0.917241528008879
nethermind,JUMPDEST,44,4.236055441770727e-07,0.001,0.8192655354340557
nethermind,SWAP,704,5.474951928076347e-07,0.001,0.8362780435389743
nethermind,CALLDATASIZE,2607,4.066018264534154e-07,0.001,0.9623839315597761
nethermind,DUP,2607,3.699664187910222e-07,0.001,0.9623839315597761
nethermind,GAS,2607,4.0096192025617113e-07,0.001,0.9623839315597761
nethermind,MLOAD,2607,1.276411162218667e-06,0.001,0.9623839315597761
nethermind,PUSH,2607,4.4237154506318183e-07,0.001,0.9623839315597761
nethermind,PUSH0,2607,3.299210159301914e-07,0.001,0.9623839315597761
nethermind,STATICCALL,2607,0.00042812595597590614,0.001,0.9623839315597761
nethermind,ADD,44,2.40776404279791e-06,0.001,0.8882752544528577
nethermind,AND,44,1.261167460945612e-06,0.001,0.8954109006036747
nethermind,CALLDATACOPY,1056,4.0047942669870605e-06,0.001,0.7388133756709612
nethermind,CALLDATALOAD,176,2.2702237943761446e-05,0.001,0.18524033793392947
nethermind,DIV,44,6.979977451251319e-06,0.001,0.6297510633351942
nethermind,EXP,44,0.0,1.0,0.0
nethermind,GT,44,1.5672761996739523e-06,0.001,0.9245912134478134
nethermind,JUMPI,44,1.9184671434427618e-06,0.001,0.8964338390779267
nethermind,LT,44,1.5100175092245476e-06,0.001,0.9294489844270352
nethermind,MSTORE,220,2.1616257454164356e-06,0.001,0.9212357334659715
nethermind,MSTORE8,220,2.0491921088994956e-06,0.001,0.9262839677326132
nethermind,MUL,44,5.233787515416322e-06,0.001,0.8838244382905458
nethermind,PC,44,8.406049096153134e-07,0.001,0.9472365559650089
nethermind,RETURNDATASIZE,176,8.008227278889794e-07,0.001,0.877920643520005
nethermind,SELFBALANCE,36,9.971044190765501e-06,0.001,0.8844041733579977
nethermind,SUB,44,2.4121904644143513e-06,0.001,0.9600061848118302
nethermind,JUMP,44,5.700999865229919e-06,0.001,0.9449009340080561
nethermind,KECCAK256,704,0.0,1.0,-2.220446049250313e-16
reth,ISZERO,11,4.649132070599646e-07,0.001,0.912858843421489
reth,JUMPDEST,11,2.998326905692855e-07,0.001,0.8750195884958064
reth,SWAP,176,4.909452240978549e-07,0.001,0.7992331663714509
reth,CALLDATASIZE,682,4.914146644992332e-07,0.001,0.8449716828816454
reth,DUP,682,4.089677001684319e-07,0.001,0.8449716828816454
reth,GAS,682,4.130902285787509e-07,0.001,0.8449716828816454
reth,MLOAD,682,1.7005533268133708e-06,0.001,0.8449716828816454
reth,PUSH,682,4.3328605825526066e-07,0.001,0.8449716828816454
reth,PUSH0,682,3.151013680497708e-07,0.001,0.8449716828816454
reth,STATICCALL,682,4.5234605822813805e-05,0.001,0.8449716828816454
reth,ADD,11,1.0202133046015827e-06,0.001,0.8633474486470465
reth,AND,11,8.603102191561168e-07,0.001,0.8366025320660034
reth,CALLDATACOPY,264,2.300480646515143e-06,0.001,0.8368206856866257
reth,CALLDATALOAD,44,3.989085262522984e-05,0.001,0.46610696762908777
